"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","phase_id","phase_description","phase_abrev","id_subphase","id_round","id_matchweek","id_week","week_description","matchweek_number","id_team_local","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_team_visitor","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","score_local","score_visitor","date","time","live","finalized","selected_players","arena_name","arena_town","period","crono","matchweek_descriptor"
104482,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4388,2662,"Real Madrid","Real Madrid","RMB",4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",90,80,1760832000,37800,FALSE,TRUE,FALSE,"Movistar Arena","Madrid",4,0,"Jornada 3"
104481,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4394,2716,"Joventut Badalona","Joventut","JOV",4389,2711,"Surne Bilbao Basket","Surne Bilbao","SBB",101,69,1760832000,36000,FALSE,TRUE,FALSE,"Palau Municipal D´Esports de Badalona","Badalona",4,0,"Jornada 3"
104479,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",4395,2669,"Río Breogán","Río Breogán","BRE",84,88,1760745600,68400,FALSE,TRUE,FALSE,"Pabellón Príncipe Felipe","Zaragoza",4,0,"Jornada 3"
104478,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",96,80,1760745600,64800,FALSE,TRUE,FALSE,"Pab. Dep. Tenerife Santiago Martín","San Cristóbal de La Laguna",4,0,"Jornada 3"
104480,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",4399,2728,"Bàsquet Girona","Bàsquet Girona","GIR",115,113,1760745600,61200,FALSE,TRUE,FALSE,"Pavelló Toni Martí","Andorra La Vella",6,0,"Jornada 3"
104477,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",80,87,1760745600,57600,FALSE,TRUE,FALSE,"Pavelló Nou Congost","Manresa",4,0,"Jornada 3"
104494,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4388,2662,"Real Madrid","Real Madrid","RMB",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",87,75,1761436800,64800,FALSE,TRUE,FALSE,"Movistar Arena","Madrid",4,0,"Jornada 4"
104493,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4397,2671,"Valencia Basket","Valencia Basket","VBC",4394,2716,"Joventut Badalona","Joventut","JOV",102,90,1761436800,61200,FALSE,TRUE,FALSE,"Roig Arena","Valencia",4,0,"Jornada 4"
104492,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4389,2711,"Surne Bilbao Basket","Surne Bilbao","SBB",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",81,71,1761436800,57600,FALSE,TRUE,FALSE,"Bilbao Arena","Bilbao",4,0,"Jornada 4"
104491,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5887,2864,"Semana 4","4",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",4398,2710,"Baskonia","Baskonia","BKN",89,84,1761436800,41400,FALSE,TRUE,FALSE,"Palacio de Deportes de Murcia","Murcia",4,0,"Jornada 4"
