"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","x3pt_success","x3pt_tried","x3pt_percentage","x2pt_success","x2pt_tried","x2pt_percentage","x1pt_success","x1pt_tried","x1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
2188961,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104625,NA,NA,TRUE,4387,4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",1,90,12000,9,21,42,22,44,50,19,26,73,16,15,31,14,7,15,6,3,4,1,26,26,85,-45,-1,13,0,0,90,99,5,266,0,5,13,40,15,22,7
2188654,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104624,NA,NA,TRUE,4395,4395,2669,"Río Breogán","Río Breogán","BRE",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",1,95,12000,9,22,40,24,36,66,20,20,100,25,9,34,21,3,18,12,3,2,3,22,22,111,-55,-1,12,0,0,95,106,5,266,2,6,0,42,3,51,7
2188655,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104624,NA,NA,FALSE,4393,4395,2669,"Río Breogán","Río Breogán","BRE",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",1,106,12000,11,31,35,30,44,68,13,15,86,16,9,25,24,13,7,24,2,3,4,22,22,124,55,-1,0,13,0,106,95,4,2120,3,13,15,60,12,58,8
2188486,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104622,NA,NA,TRUE,4384,4384,2658,"Unicaja","Unicaja","UNI",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",1,91,12000,9,27,33,24,37,64,16,22,72,24,9,33,13,8,12,8,1,1,1,22,24,98,60,-1,0,13,0,91,79,3,636,4,15,2,34,2,64,10
2188487,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104622,NA,NA,FALSE,4385,4384,2658,"Unicaja","Unicaja","UNI",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",1,79,12000,8,28,28,17,29,58,21,23,91,20,8,28,15,8,15,9,1,1,3,24,22,79,-60,-1,13,0,0,79,91,4,1682,3,10,2,26,2,35,10
2188401,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104621,NA,NA,FALSE,4391,4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",1,88,12000,13,29,44,11,18,61,27,37,72,25,7,32,15,5,21,6,3,4,0,26,28,87,-40,-1,13,0,0,88,96,4,147,0,3,4,16,5,37,7
2188400,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5902,104621,NA,NA,TRUE,4402,4402,2680,"Recoletas Salud San Pablo Burgos","Recoletas Salud","BUR",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",1,96,12000,6,21,28,28,46,60,22,32,68,16,12,28,17,12,7,12,4,3,1,29,24,99,40,-1,0,13,0,96,88,3,2132,1,17,11,42,7,36,8
2191710,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104638,NA,NA,FALSE,4388,4384,2658,"Unicaja","Unicaja","UNI",4388,2662,"Real Madrid","Real Madrid","RMB",1,96,12000,7,19,36,28,40,70,19,25,76,26,7,33,18,7,15,16,4,1,6,24,22,110,20,-1,0,13,0,96,92,5,643,5,7,4,52,6,42,14
2191709,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104638,NA,NA,TRUE,4384,4384,2658,"Unicaja","Unicaja","UNI",4388,2662,"Real Madrid","Real Madrid","RMB",1,92,12000,16,29,55,15,30,50,14,26,53,18,8,26,20,7,14,18,1,3,2,22,23,90,-20,-1,13,0,0,92,96,5,1689,5,18,2,20,0,51,11
2191546,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,NA,NA,5903,104637,NA,NA,FALSE,4398,4389,2711,"Surne Bilbao","Surne Bilbao","SBB",4398,2710,"Kosner Baskonia","Kosner Baskonia","BKN",1,76,12000,6,23,26,22,40,55,14,17,82,28,11,39,16,13,15,15,7,1,0,18,20,99,35,-1,0,12,0,76,69,1,1299,3,15,11,40,8,40,11
