"id_competition","edition_year","id_match","matchweek_number","week_description","order","abb_local","abb","license_id","license_licenseStr15","license_licenseAbbrev","license_licenseNick","id_play","type_description","type_normalized_description","local","period","minute","second","crono","score_local","score_visitor","wall_clock","player_asist","player_shoot","asist_type","recovered_block","player_points","msg_type","three_make","three_misses","two_make","two_misses","free_make","free_misses","dunk","dunk_misses","valoracion","reboundOff","reboundDef","rebounds","asistencias","pts_diff","lado","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","NA1","NA2","NA3","NA4","NA5"
1,2026,105375,1,"Semana 1",2401,"SBB","K&U",30005444,"JD Notae","JD Notae","Notae",98,"Intento fallado de 3","3-Point Shot Missed",FALSE,1,9,6,00:09:06,3,0,65157,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,3,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2501,"SBB","SBB",NA,NA,NA,NA,104,"Rebote Defensivo","Defensive Rebound",TRUE,1,9,6,00:09:06,3,0,65157,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,NA,"Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2701,"SBB","SBB",30005348,"Bastien  Vautier","B. Vautier","Vautier",100,"Mate","Dunk",TRUE,1,8,48,00:08:48,5,0,65181,NA,NA,NA,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2801,"SBB","SBB",30003398,"Harald Frey","H. Frey","Frey",107,"Asistencia tiro de 2","Assist 2-Point Shot",TRUE,1,8,48,00:08:48,5,0,65181,"Harald Frey","Bastien  Vautier","Mate",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2901,"SBB","K&U",30001001,"Pablo Tamba","P. Tamba","Tamba",100,"Mate","Dunk",FALSE,1,8,28,00:08:28,5,2,65200,NA,NA,NA,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,3,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3001,"SBB","SBB",20212984,"Darrun Hilliard","D. Hilliard","Hilliard",98,"Intento fallado de 3","3-Point Shot Missed",TRUE,1,8,10,00:08:10,5,2,65218,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,3,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3101,"SBB","SBB",30000192,"Martin Krampelj","M. Krampelj","Krampelj",101,"Rebote Ofensivo","Offensive Rebound",TRUE,1,8,10,00:08:10,5,2,65218,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3201,"SBB","SBB",30005348,"Bastien  Vautier","B. Vautier","Vautier",93,"Canasta de 2","2-Point Shot Made",TRUE,1,8,3,00:08:03,7,2,65226,NA,NA,NA,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3301,"SBB","SBB",20212984,"Darrun Hilliard","D. Hilliard","Hilliard",107,"Asistencia tiro de 2","Assist 2-Point Shot",TRUE,1,8,3,00:08:03,7,2,65226,"Darrun Hilliard","Bastien  Vautier","Canasta de 2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3401,"SBB","K&U",30005444,"JD Notae","JD Notae","Notae",106,"Pérdida","Turnover",FALSE,1,7,42,00:07:42,7,2,65247,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3501,"SBB","SBB",20212984,"Darrun Hilliard","D. Hilliard","Hilliard",103,"Recuperación","Steal",TRUE,1,7,42,00:07:42,7,2,65247,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3801,"SBB","K&U",30005444,"JD Notae","JD Notae","Notae",162,"Personal 3TL","Foul 3FT",FALSE,1,7,35,00:07:35,7,2,65256,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,5,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",3901,"SBB","SBB",30004013,"Margiris Normantas","M. Normantas","Normantas",110,"Falta recibida","Foul Received",TRUE,1,7,35,00:07:35,7,2,65256,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
